UNICLASS,PRICE_NEW
Pr_35_31_68_02,18.95
Pr_35_31_68_04,29.283333333333335
Pr_35_31_68_06,12.95
Pr_35_31_68_10,29.57222222222222
Pr_35_31_68_11,19.95
Pr_35_31_68_12,18.95
Pr_35_31_68_13,147.39
Pr_35_31_68_16,6.95
Pr_35_31_68_29,28.95
Pr_35_31_68_33,132.63333333333333
Pr_35_31_68_35,14.337499999999999
Pr_35_31_68_36,20.725
Pr_35_31_68_37,9.225
Pr_35_31_68_39,21.259999999999998
Pr_35_31_68_40,6.95
Pr_35_31_68_43,11.45
Pr_35_31_68_46,16.225
Pr_35_31_68_59,69.95
Pr_35_31_68_61,9.75
Pr_35_31_68_66,17.5
Pr_35_31_68_69,16.45
Pr_35_31_68_72,15.5
Pr_35_31_68_81,4.3
Pr_35_31_68_83,23.95
Pr_35_31_68_84,29.8375
Pr_35_31_68_86,76.95
Pr_35_31_77_30,32.95
Pr_35_31_77_42,439.95
Pr_35_31_77_92,99.95
Pr_35_31_85_21,14.95
Pr_35_31_85_26,52.800000000000004
Pr_35_31_85_29,24.697222222222223
Pr_35_31_85_35,9.95
Pr_35_31_85_36,17.82242424242424
Pr_35_31_85_47,9.95
Pr_35_31_85_48,7.844736842105264
Pr_35_31_85_51,19.95
Pr_35_31_85_62,15.5
Pr_35_31_85_76,4.5
Pr_35_31_85_82,5.95
Pr_35_31_85_94,184.89999999999998
Pr_35_31_95_96,14.95
Pr_35_57,9.283333333333333
Pr_35_57_11_05,17.5
Pr_35_57_11_27,47.95
Pr_35_57_11_64,10.0
Pr_35_57_11_66,13.37
Pr_35_57_11_68,22.5
Pr_35_57_11_85,7.45
Pr_35_57_11_91,26.69
Pr_35_57_22_08,17.95
Pr_35_57_22_21,15.45
Pr_35_57_22_54,128.125
Pr_35_57_22_88,33.95
Pr_35_57_71_26,37.45
Pr_35_57_71_28,19.0
Pr_35_57_71_31,149.95
Pr_35_57_71_35,10.283333333333333
Pr_35_57_71_36,4.95
Pr_35_57_71_37,84.95
Pr_35_57_71_46,250.575
Pr_35_57_71_67,34.95
Pr_35_57_71_76,15.5
Pr_35_57_71_86,14.375
Pr_35_57_71_88,499.95
Pr_35_57_88,15.8625
Pr_35_57_88_02,97.95
Pr_35_57_88_16,13.95
Pr_35_57_88_46,17.95
Pr_35_90_07_04,9.9875
Pr_35_90_09_11,33.0
Pr_35_90_09_28,24.9125
Pr_35_90_09_85,87.95
Pr_35_90_15_19,33.95
Pr_35_90_22_52,9.95
Pr_35_90_27,35.46666666666667
Pr_35_90_28_02,10.1875
Pr_35_90_28_23,16.95
Pr_35_90_28_50,7.95
Pr_35_90_28_83,22.616666666666664
Pr_35_90_28_93,6.5
Pr_35_90_31_27,7.95
Pr_35_90_31_33,15.66
Pr_35_90_31_36,58.02966666666667
Pr_35_90_31_84,5.0
Pr_35_90_33,39.95
Pr_35_90_43_04,117.19999999999999
Pr_35_90_43_12,110.74444444444445
Pr_35_90_43_17,2.0
Pr_35_90_43_20,11.216666666666667
Pr_35_90_43_48,23.3
Pr_35_90_43_50,9.95
Pr_35_90_43_56,24.45
Pr_35_90_43_62,28.17666666666667
Pr_35_90_43_63,3.95
Pr_35_90_43_86,25.5
Pr_35_90_43_87,200.18571428571428
