,IFC,raw
1801,electric flow storage  device,IfcElectricFlowStorageDevice
1802,electric flow storage  device,IfcElectricFlowStorageDevice
1803,electric flow storage  device,IfcElectricFlowStorageDevice
1804,electric flow treatment  device,IfcElectricFlowTreatmentDevice
1805,electric flow treatment  device,IfcElectricFlowTreatmentDevice
1806,electric flow treatment  device,IfcElectricFlowTreatmentDevice
1807,electric  generator,IfcElectricGenerator
1808,electric  generator,IfcElectricGenerator
1809,electric  generator,IfcElectricGenerator
1810,electric  generator,IfcElectricGenerator
1811,electric  generator,IfcElectricGenerator
1812,electric  motor,IfcElectricMotor
1813,electric  motor,IfcElectricMotor
1814,electric  motor,IfcElectricMotor
1815,electric  motor,IfcElectricMotor
1816,electric  motor,IfcElectricMotor
1817,electric  motor,IfcElectricMotor
1818,electric  motor,IfcElectricMotor
1819,electric time  control,IfcElectricTimeControl
1820,electric time  control,IfcElectricTimeControl
1821,electric time  control,IfcElectricTimeControl
1822,electric time  control,IfcElectricTimeControl
1823,electric time  control,IfcElectricTimeControl
1824,junction  box,IfcJunctionBox
1825,junction  box,IfcJunctionBox
1826,junction  box,IfcJunctionBox
1827,junction  box,IfcJunctionBox
1828,lamp,IfcLamp
1829,lamp,IfcLamp
1830,lamp,IfcLamp
1831,lamp,IfcLamp
1832,lamp,IfcLamp
1833,lamp,IfcLamp
1834,lamp,IfcLamp
1835,lamp,IfcLamp
1836,lamp,IfcLamp
1837,lamp,IfcLamp
1838,lamp,IfcLamp
1839,light  fixture,IfcLightFixture
1840,light  fixture,IfcLightFixture
1841,light  fixture,IfcLightFixture
1842,light  fixture,IfcLightFixture
1843,light  fixture,IfcLightFixture
1844,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1845,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1846,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1847,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1848,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1849,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1850,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1851,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1852,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1853,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1854,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1855,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1856,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1857,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1858,mobile telecommunications  appliance,IfcMobileTelecommunicationsAppliance
1859,motor  connection,IfcMotorConnection
1860,motor  connection,IfcMotorConnection
1861,motor  connection,IfcMotorConnection
1862,motor  connection,IfcMotorConnection
1863,motor  connection,IfcMotorConnection
1864,outlet,IfcOutlet
1865,outlet,IfcOutlet
1866,outlet,IfcOutlet
1867,outlet,IfcOutlet
1868,outlet,IfcOutlet
1869,outlet,IfcOutlet
1870,outlet,IfcOutlet
1871,protective  device,IfcProtectiveDevice
1872,protective  device,IfcProtectiveDevice
1873,protective  device,IfcProtectiveDevice
1874,protective  device,IfcProtectiveDevice
1875,protective  device,IfcProtectiveDevice
1876,protective  device,IfcProtectiveDevice
1877,protective  device,IfcProtectiveDevice
1878,protective  device,IfcProtectiveDevice
1879,protective  device,IfcProtectiveDevice
1880,protective  device,IfcProtectiveDevice
1881,protective  device,IfcProtectiveDevice
1882,protective  device,IfcProtectiveDevice
1883,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
1884,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
1885,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
1886,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
1887,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
1888,protective device tripping  unit,IfcProtectiveDeviceTrippingUnit
1889,solar  device,IfcSolarDevice
1890,solar  device,IfcSolarDevice
1891,solar  device,IfcSolarDevice
1892,solar  device,IfcSolarDevice
1893,switching  device,IfcSwitchingDevice
1894,switching  device,IfcSwitchingDevice
1895,switching  device,IfcSwitchingDevice
1896,switching  device,IfcSwitchingDevice
1897,switching  device,IfcSwitchingDevice
1898,switching  device,IfcSwitchingDevice
1899,switching  device,IfcSwitchingDevice
1900,switching  device,IfcSwitchingDevice
1901,switching  device,IfcSwitchingDevice
1902,switching  device,IfcSwitchingDevice
1903,switching  device,IfcSwitchingDevice
1904,switching  device,IfcSwitchingDevice
1905,switching  device,IfcSwitchingDevice
1906,transformer,IfcTransformer
1907,transformer,IfcTransformer
1908,transformer,IfcTransformer
1909,transformer,IfcTransformer
1910,transformer,IfcTransformer
1911,transformer,IfcTransformer
1912,transformer,IfcTransformer
1913,transformer,IfcTransformer
1914,transformer,IfcTransformer
1915,air  terminal,IfcAirTerminal
1916,air  terminal,IfcAirTerminal
1917,air  terminal,IfcAirTerminal
1918,air  terminal,IfcAirTerminal
1919,air  terminal,IfcAirTerminal
1920,air  terminal,IfcAirTerminal
